aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
3,4,46%,59%,30%,12,42%,12,42%,43%,25%,35%,5,20%,12,8%,29%,36%,https://www.atptour.com/en/players/james-duckworth/d994/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/josh-goodall/g744/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/thomas-fabbiano/f586/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/izak-van-der-merwe/v379/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tsung-hua-yang/t982/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yuki-bhambri/bf55/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/damir-dzumhur/d923/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/daniel-kosakowski/kc11/player-stats?year=2013&surfaceType=clay,2013
5,3,63%,61%,41%,11,55%,13,62%,53%,29%,41%,6,17%,14,7%,36%,44%,https://www.atptour.com/en/players/alex-kuznetsov/k737/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/fabiano-de-paula/d815/player-stats?year=2013&surfaceType=clay,2013
11,15,62%,66%,42%,21,57%,29,69%,57%,18%,58%,10,70%,30,23%,34%,47%,https://www.atptour.com/en/players/jiri-vesely/v708/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/christopher-rungkat/r862/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nikola-mektic/mf09/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/steven-diez/d916/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/facundo-bagnis/bf23/player-stats?year=2013&surfaceType=clay,2013
10,12,70%,62%,48%,58,59%,65,63%,58%,31%,49%,43,30%,64,20%,38%,48%,https://www.atptour.com/en/players/julian-reister/r782/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ricardo-hocevar/h693/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dusan-lojda/l801/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ivan-navarro/n309/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/simone-vagnozzi/v339/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/raymond-sarmiento/sl09/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/enrique-lopez-perez/la93/player-stats?year=2017&surfaceType=clay,2017
1,3,67%,57%,29%,8,50%,7,43%,48%,31%,25%,3,0%,8,0%,29%,39%,https://www.atptour.com/en/players/victor-crivoi/c856/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dennis-novak/db59/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yannik-reuter/ra82/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matthew-barton/bh98/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pedro-cachin/cg04/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matthias-bachinger/bc65/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mats-moraing/mj71/player-stats?year=2017&surfaceType=clay,2017
18,8,53%,65%,47%,31,77%,26,73%,56%,35%,55%,18,50%,25,36%,43%,50%,https://www.atptour.com/en/players/gianluigi-quinzi/q948/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dayne-kelly/ka22/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alex-bolt/bi81/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/austin-krajicek/ka00/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/daniel-elahi-galan/ge33/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/n.sriram-balaji/n558/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marek-jaloviec/j493/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matteo-viola/v490/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/ze-zhang/z272/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/zhe-li/l733/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/albano-olivetti/o411/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/roberto-ortega-olmedo/o340/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/filip-peliwo/pf65/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/kimmer-coppejans/cg33/player-stats?year=2017&surfaceType=clay,2017
11,5,66%,68%,50%,25,68%,30,73%,62%,23%,42%,9,22%,30,7%,31%,48%,https://www.atptour.com/en/players/miljan-zekic/z246/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrew-whittington/w630/player-stats?year=2017&surfaceType=clay,2017
20,18,63%,70%,45%,26,58%,45,76%,61%,34%,54%,35,37%,46,28%,42%,51%,https://www.atptour.com/en/players/ivan-dodig/d646/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/michael-linzer/l941/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/danilo-petrovic/pe02/player-stats?year=2017&surfaceType=clay,2017
6,15,49%,63%,37%,30,37%,37,49%,50%,19%,45%,17,18%,38,8%,30%,40%,https://www.atptour.com/en/players/stephane-robert/r612/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/edan-leshem/ld26/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/santiago-gonzalez/g551/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/adrian-ungur/u061/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/george-bastl/b503/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/roberto-quiroz/q941/player-stats?year=2017&surfaceType=clay,2017
37,19,56%,70%,47%,60,67%,83,76%,60%,27%,50%,57,21%,87,14%,36%,47%,https://www.atptour.com/en/players/gianluca-naso/n437/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexander-flock/f432/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pedja-krstin/kd70/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marco-crugnola/c968/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/omar-jasika/j553/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/giancarlo-petrazzuolo/p529/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jason-jung/j380/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/carlos-taberner/te16/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrea-stoppini/s842/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dominik-koepfer/ke73/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tristan-lamasine/lc11/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/illya-marchenko/me89/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/luka-gregorc/g527/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andre-ghem/g602/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jaroslav-pospisil/p605/player-stats?year=2008&surfaceType=clay,2008
11,11,54%,72%,33%,22,55%,22,55%,54%,35%,36%,18,28%,22,23%,36%,46%,https://www.atptour.com/en/players/matthias-bachinger/bc65/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/giovanni-lapentti/l430/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/michael-yani/y070/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/ivan-miranda/m783/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/martin-slanar/s893/player-stats?year=2008&surfaceType=clay,2008
5,8,57%,63%,43%,23,57%,28,64%,55%,24%,44%,3,67%,28,7%,31%,44%,https://www.atptour.com/en/players/jean-rene-lisnard/l386/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/stefano-galvani/g372/player-stats?year=2008&surfaceType=clay,2008
6,3,61%,53%,50%,15,40%,18,50%,52%,26%,48%,5,60%,18,17%,35%,43%,https://www.atptour.com/en/players/martin-fischer/f580/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marsel-ilhan/k771/player-stats?year=2008&surfaceType=clay,2008
10,2,60%,67%,37%,11,55%,15,67%,55%,31%,50%,9,33%,14,21%,38%,46%,https://www.atptour.com/en/players/peter-polansky/pb22/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ryan-sweeting/sg87/player-stats?year=2008&surfaceType=clay,2008
9,7,60%,62%,42%,23,65%,19,58%,54%,25%,54%,5,60%,18,17%,32%,45%,https://www.atptour.com/en/players/scoville-jenkins/j290/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/lukasz-kubot/k540/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/prakash-amritraj/a487/player-stats?year=2008&surfaceType=clay,2008
2,3,49%,59%,43%,9,56%,8,50%,51%,35%,24%,4,25%,9,11%,31%,41%,https://www.atptour.com/en/players/alexander-kudryavtsev/k596/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/david-guez/g753/player-stats?year=2008&surfaceType=clay,2008
0,1,50%,62%,44%,10,50%,10,50%,53%,33%,61%,14,29%,11,36%,43%,47%,https://www.atptour.com/en/players/fernando-vicente/v195/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/grega-zemlja/z189/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/paolo-lorenzi/l503/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/joao-souza/sg64/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/carsten-ball/bd59/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/josh-goodall/g744/player-stats?year=2008&surfaceType=clay,2008
5,0,65%,56%,67%,11,55%,16,69%,60%,20%,49%,6,33%,16,13%,33%,47%,https://www.atptour.com/en/players/somdev-devvarman/d616/player-stats?year=2008&surfaceType=clay,2008
57,16,65%,77%,49%,28,68%,75,88%,67%,29%,50%,29,59%,73,23%,36%,52%,https://www.atptour.com/en/players/younes-el-aynaoui/e121/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ricardo-mello/m708/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/horacio-zeballos/z184/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/mariano-puerta/p372/player-stats?year=2008&surfaceType=clay,2008
0,6,46%,35%,30%,11,27%,9,11%,32%,7%,37%,0,0%,10,0%,18%,26%,https://www.atptour.com/en/players/robert-smeets/sd56/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/stefan-koubek/k310/player-stats?year=2008&surfaceType=clay,2008
34,12,63%,66%,57%,48,63%,90,80%,63%,28%,42%,56,21%,92,13%,33%,48%,https://www.atptour.com/en/players/david-marrero/m984/player-stats?year=2008&surfaceType=clay,2008
3,1,65%,69%,49%,8,50%,18,78%,62%,31%,54%,10,40%,19,21%,36%,49%,https://www.atptour.com/en/players/lamine-ouahab/o207/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/joseph-sirianni/s673/player-stats?year=2008&surfaceType=clay,2008
3,9,65%,62%,50%,26,54%,32,63%,58%,41%,58%,34,38%,30,43%,48%,53%,https://www.atptour.com/en/players/bjorn-rehnquist/r364/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/rajeev-ram/r548/player-stats?year=2008&surfaceType=clay,2008
18,5,65%,68%,40%,26,46%,43,67%,58%,24%,50%,18,33%,46,13%,35%,46%,https://www.atptour.com/en/players/miguel-angel-lopez-jaen/l513/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/alex-bogdanovic/b929/player-stats?year=2008&surfaceType=clay,2008
12,8,63%,63%,49%,41,59%,60,72%,58%,25%,50%,29,41%,61,20%,36%,47%,https://www.atptour.com/en/players/thierry-ascione/a356/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pablo-santos/sb15/player-stats?year=2008&surfaceType=clay,2008
3,3,64%,80%,52%,2,50%,11,91%,70%,22%,48%,1,0%,11,0%,31%,49%,https://www.atptour.com/en/players/alexandre-sidorenko/sd78/player-stats?year=2008&surfaceType=clay,2008
4,9,57%,65%,47%,19,63%,24,71%,57%,35%,39%,12,42%,23,22%,37%,47%,https://www.atptour.com/en/players/scoville-jenkins/j290/player-stats?year=2009&surfaceType=clay,2009
7,14,64%,56%,49%,52,60%,60,65%,53%,29%,54%,33,55%,63,29%,38%,46%,https://www.atptour.com/en/players/yuri-schukin/s809/player-stats?year=2008&surfaceType=clay,2008
9,1,63%,67%,52%,8,63%,14,79%,61%,11%,25%,0,0%,15,0%,16%,40%,https://www.atptour.com/en/players/gilles-muller/ma30/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/lukas-dlouhy/d487/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ryler-deheart/d617/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrea-arnaboldi/a622/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/adrian-menendez-maceiras/mb53/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matthias-bachinger/bc65/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/james-ward/w503/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andre-begemann/ba79/player-stats?year=2009&surfaceType=clay,2009
5,12,61%,59%,37%,26,42%,33,55%,50%,27%,39%,15,40%,34,18%,32%,41%,https://www.atptour.com/en/players/denis-gremelmayr/g512/player-stats?year=2009&surfaceType=clay,2009
25,13,69%,68%,53%,59,73%,85,81%,64%,29%,46%,39,44%,89,19%,35%,50%,https://www.atptour.com/en/players/andreas-vinciguerra/v250/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/go-soeda/sc47/player-stats?year=2009&surfaceType=clay,2009
