aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/michael-russell/r368/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alessio-di-mauro/d330/player-stats?year=2008&surfaceType=clay,2008
14,15,61%,70%,55%,19,74%,33,85%,64%,20%,54%,22,32%,33,21%,38%,51%,https://www.atptour.com/en/players/dominik-meffert/m836/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dieter-kindlmann/k436/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sergio-gutierrez-ferrol/g935/player-stats?year=2009&surfaceType=clay,2009
2,5,58%,63%,35%,11,55%,9,44%,51%,31%,25%,2,50%,8,13%,30%,41%,https://www.atptour.com/en/players/dawid-olejniczak/o253/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matwe-middelkoop/mb88/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/jesse-huta-galung/h704/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dusan-vemic/v205/player-stats?year=2008&surfaceType=clay,2008
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/andis-juska/j259/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/leandro-migani/mb60/player-stats?year=2009&surfaceType=clay,2009
3,2,57%,66%,54%,6,33%,13,69%,61%,38%,48%,7,71%,13,38%,43%,52%,https://www.atptour.com/en/players/caio-zampieri/z198/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/vincent-spadea/s544/player-stats?year=2009&surfaceType=clay,2009
1,7,54%,53%,35%,8,50%,8,50%,45%,11%,56%,1,100%,9,11%,28%,37%,https://www.atptour.com/en/players/boris-pashanski/p642/player-stats?year=2009&surfaceType=clay,2009
